n,time
1,3.09944152832e-06
1,2.14576721191e-06
1,2.14576721191e-06
1,1.90734863281e-06
1,9.53674316406e-07
1,2.14576721191e-06
1,1.90734863281e-06
1,1.90734863281e-06
1,2.14576721191e-06
1,1.90734863281e-06
2,1.90734863281e-06
2,2.14576721191e-06
2,2.14576721191e-06
2,9.53674316406e-07
2,9.53674316406e-07
2,2.14576721191e-06
2,1.90734863281e-06
2,9.53674316406e-07
2,2.14576721191e-06
2,1.90734863281e-06
4,1.00135803223e-05
4,9.05990600586e-06
4,8.10623168945e-06
4,7.86781311035e-06
4,7.15255737305e-06
4,8.10623168945e-06
4,7.86781311035e-06
4,8.10623168945e-06
4,7.86781311035e-06
4,8.10623168945e-06
8,2.00271606445e-05
8,1.90734863281e-05
8,1.90734863281e-05
8,1.97887420654e-05
8,1.81198120117e-05
8,1.90734863281e-05
8,1.90734863281e-05
8,1.8835067749e-05
8,1.90734863281e-05
8,2.00271606445e-05
16,5.60283660889e-05
16,5.50746917725e-05
16,5.41210174561e-05
16,5.48362731934e-05
16,5.3882598877e-05
16,5.50746917725e-05
16,5.29289245605e-05
16,6.79492950439e-05
16,5.29289245605e-05
16,5.48362731934e-05
32,0.000181913375854
32,0.00018310546875
32,0.000185012817383
32,0.000182867050171
32,0.000179052352905
32,0.000181198120117
32,0.000183820724487
32,0.000180006027222
32,0.000181913375854
32,0.000181198120117
64,0.000649929046631
64,0.000688076019287
64,0.000651121139526
64,0.00065016746521
64,0.000648975372314
64,0.000647068023682
64,0.000653982162476
64,0.000653028488159
64,0.00066089630127
64,0.000656843185425
128,0.00244808197021
128,0.00245308876038
128,0.00244283676147
128,0.00244498252869
128,0.00245308876038
128,0.00246500968933
128,0.00246000289917
128,0.00246715545654
128,0.00246596336365
128,0.00250005722046
256,0.00941491127014
256,0.00946307182312
256,0.00945496559143
256,0.00945520401001
256,0.00947308540344
256,0.00943207740784
256,0.00943493843079
256,0.00947403907776
256,0.00958800315857
256,0.00947999954224
512,0.038370847702
512,0.0384140014648
512,0.038370847702
512,0.0383489131927
512,0.0381298065186
512,0.0383870601654
512,0.0382709503174
512,0.038341999054
512,0.0384659767151
512,0.0383939743042
1024,0.153963088989
1024,0.15372800827
1024,0.154092073441
1024,0.154683828354
1024,0.15443110466
1024,0.154120922089
1024,0.153924942017
1024,0.15433883667
1024,0.154106140137
1024,0.154286146164
2048,0.618849992752
2048,0.62152504921
2048,0.621995210648
2048,0.622742176056
2048,0.621968984604
2048,0.621791124344
2048,0.622238874435
2048,0.622802019119
2048,0.622990846634
2048,0.623505115509
