n,time
1,5.96046447754e-06
1,3.81469726562e-06
1,4.05311584473e-06
1,4.05311584473e-06
1,2.86102294922e-06
1,4.05311584473e-06
1,3.09944152832e-06
1,2.86102294922e-06
1,3.09944152832e-06
1,3.09944152832e-06
2,3.09944152832e-06
2,2.86102294922e-06
2,3.09944152832e-06
2,4.05311584473e-06
2,2.86102294922e-06
2,4.05311584473e-06
2,2.86102294922e-06
2,3.09944152832e-06
2,3.09944152832e-06
2,3.09944152832e-06
3,1.50203704834e-05
3,1.09672546387e-05
3,1.09672546387e-05
3,1.00135803223e-05
3,1.00135803223e-05
3,1.09672546387e-05
3,1.00135803223e-05
3,1.00135803223e-05
3,1.00135803223e-05
3,1.00135803223e-05
4,2.09808349609e-05
4,1.81198120117e-05
4,1.69277191162e-05
4,1.71661376953e-05
4,1.78813934326e-05
4,1.81198120117e-05
4,1.81198120117e-05
4,1.90734863281e-05
4,1.81198120117e-05
4,1.78813934326e-05
5,3.00407409668e-05
5,2.98023223877e-05
5,2.98023223877e-05
5,2.90870666504e-05
5,3.00407409668e-05
5,3.09944152832e-05
5,2.90870666504e-05
5,3.09944152832e-05
5,3.00407409668e-05
5,2.90870666504e-05
6,4.38690185547e-05
6,4.38690185547e-05
6,4.29153442383e-05
6,4.31537628174e-05
6,4.50611114502e-05
6,4.29153442383e-05
6,4.10079956055e-05
6,4.29153442383e-05
6,4.19616699219e-05
6,4.29153442383e-05
7,8.48770141602e-05
7,6.00814819336e-05
7,6.29425048828e-05
7,6.103515625e-05
7,6.103515625e-05
7,6.00814819336e-05
7,6.98566436768e-05
7,5.88893890381e-05
7,6.19888305664e-05
7,6.00814819336e-05
8,8.10623168945e-05
8,8.70227813721e-05
8,8.29696655273e-05
8,8.10623168945e-05
8,8.41617584229e-05
8,8.17775726318e-05
8,8.41617584229e-05
8,8.29696655273e-05
8,8.10623168945e-05
8,8.29696655273e-05
9,0.0001060962677
9,0.000106811523438
9,0.000108003616333
9,0.000107049942017
9,0.000109910964966
